Site,Designation,AYLD_CONT,Blk,analysisResultFolder,username,design,respvars,environment,environmentLevels,genotype,block,rep,row,column,descriptiveStat,varianceComponents,boxplotRawData,histogramRawData,heatmapResiduals,heatmapRow,heatmapColumn,diagnosticPlot,genotypeFixed,performPairwise,pairwiseAlpha,genotypeLevels,controlLevels,compareControl,performAllPairwise,genotypeRandom,excludeControls,genoPhenoCorrelation
Env1,IR 97454-38-1-3-B,1000,2,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 97454-24-2-1-B,674,1,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 97453-150-3-1-B,NA,1,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 97452-54-2-1-B,851,1,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 97646-138-2-5-B,NA,2,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 97645-121-1-1-B,608,1,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 97645-120-2-1-B,500,2,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 94304-49-3-1-1-B,1043,1,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 94304-49-3-1-1-B,614,2,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 92978-128-2-1-1-1-B,928,2,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
