"","PLOT","ENTRYNO","GID","ENTRY","DESIGNATION","PARENTS","SOURCE","REP","ROW","COLUMN","SEEDING_DATE","FLW","MATURITY","PLTHGT","TILLER","MC","Plotyield.H","MISSHILL","Plotyield.C","Plotyield.Adj","LODGING","Ldg.Sticks","GLH","BPH","BLAST","BB1","BB2","HARVESTDATE","REMARKS","Plotyield.Adj_resid_fixed"
"554",142,"A1227",3768929,"IR13A262","IR 92270-RIL 86-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6128",1,"6","10",20130608,80,110,123,18,10.2,2632,1,2929,2748,"5",NA,5,9,4,"1","7","07-Oct","few seg'n., shb",0
"555",106,"A1228",3768934,"IR13A267","IR 92270-RIL 91-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6641",1,"7","27",20130608,86,116,117,13,10.2,2177,NA,2126,2273,"9",NA,5,9,6,"1","7","07-Oct",NA,0
"556",110,"A1229",3768935,"IR13A268","IR 92270-RIL 92-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6595",1,"7","23",20130608,86,116,123,12,9.8,2526,1,2934,2649,"9","S",5,7,6,"1","7","07-Oct","very cmpact",36.9999999999995
"557",207,"A1229",3768935,"IR13A268","IR 92270-RIL 92-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6595",2,"4","9",20130608,89,119,126,15,11.1,2491,NA,2652,2575,"7",NA,NA,NA,NA,"1","7","09-Oct","heavy grains",-37.0000000000005
"558",121,"A1230",3768936,"IR13A269","IR 92270-RIL 93-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6672",1,"7","12",20130608,90,120,126,23,10.7,2636,NA,2634,2737,NA,NA,5,5,0,"1","7","09-Oct","seed discoration",0
"559",47,"A1231",3768937,"IR13A270","IR 92270-RIL 94-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6177",1,"9","20",20130608,82,112,117,19,10.3,2698,2,2007,2814,NA,NA,3,3,3,"1","7","10-Oct","segregation, droopy",-175.999999999999
"560",240,"A1231",3768937,"IR13A270","IR 92270-RIL 94-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6177",2,"3","25",20130608,81,111,129,15,10,3025,NA,3062,3166,NA,NA,NA,NA,NA,"1","5","11-Oct",NA,176.000000000001
"561",11,"A1232",3768941,"IR13A273","IR 92270-RIL 98-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6214",1,"10","11",20130608,88,118,126,34,11,2505,NA,2505,2592,"7","S",3,3,0,"1","5","08-Oct",NA,-277
"562",35,"A1232",3768941,"IR13A273","IR 92270-RIL 98-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6214",2,"9","32",20130608,87,117,129,22,9.5,2990,NA,3014,3146,"7",NA,NA,NA,NA,"1","1","09-Oct",NA,277
"563",49,"A1233",3768947,"IR13A276","IR 92270-RIL 104-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6109",1,"9","18",20130608,90,120,117,16,10.9,3028,2,1624,3137,"7","S",3,5,0,"1","7","10-Oct",NA,114.5
"564",170,"A1233",3768947,"IR13A276","IR 92270-RIL 104-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6109",2,"5","29",20130608,86,116,121,20,11,2810,NA,3466,2908,"7","S",NA,NA,NA,"1","5","07-Oct","shb",-114.5
"565",148,"A1234",3768952,"IR13A281","IR 92270-RIL 109-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6185",1,"6","16",20130608,78,108,109,16,10.2,2573,4,2806,2687,"9",NA,3,5,3,"1","7","30-Sep","short, shb",0
"566",202,"A1235",3768972,"IR13A287","IR 92270-RIL 129-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6149",1,"4","4",20130608,85,115,124,15,9.7,2306,NA,2121,2421,"9",NA,3,7,3,"1","7","04-Oct","shb",0
"567",301,"A1236",3768978,"IR13A290","IR 92270-RIL 135-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6189",1,"1","30",20130608,87,117,121,15,9.1,2183,NA,2219,2307,"5",NA,3,7,3,"1","3/5","17-Oct","segregation",0
